"W1","W2","A","Y"
2,1,3,36.2899811921039
2,1,1,33.0111169202099
2,0,5,39.3360980111105
3,0,3,38.6772784614858
3,0,1,34.8129981368283
1,0,3,35.7075372992702
3,1,4,38.6449039170318
3,1,4,38.6736748987538
2,1,4,37.1482019435434
1,1,5,36.3239830873257
1,1,6,36.8741491811592
3,1,2,36.5841720133209
1,0,5,37.8567253616922
1,0,6,38.6754971535896
2,0,4,38.3627521939174
1,0,4,36.8372413694256
1,0,6,38.6665378049503
3,1,2,36.5740011426835
1,1,1,31.5065688088734
2,1,3,36.2862223620571
3,1,4,38.6726971325626
3,1,4,38.6476238798015
3,0,4,39.8638412915362
3,0,6,41.6893625862535
2,0,4,38.3504222914619
2,1,5,37.8119061825167
2,0,4,38.3529316608012
1,0,7,39.4494640720874
3,1,2,36.5895985616939
3,0,6,41.6758275865714
1,0,3,35.7057253350776
1,0,5,37.8236982068943
3,0,5,40.8183493167018
3,1,3,37.7871701454097
3,0,4,39.8476706374234
3,0,5,40.8239662971653
1,1,6,36.8832838740172
2,0,4,38.3614318076054
3,1,3,37.7974968304686
1,0,6,38.663107904754
1,0,6,38.681875006858
3,0,6,41.6761953139931
3,0,6,41.6819051319848
3,0,4,39.8585654244543
3,1,6,39.8749086280001
2,0,3,37.1907390189803
3,1,3,37.7980070743739
1,1,3,34.782920028148
2,1,2,35.0766296688328
3,1,3,37.8005065083513
2,1,2,35.0760009075482
2,0,4,38.351256853385
1,1,4,35.6662708908556
3,0,5,40.8296011879591
1,0,4,36.8398463855821
1,0,6,38.6763848338785
1,1,5,36.3516441625234
3,1,3,37.8017408429826
1,1,4,35.6613000853346
3,0,1,34.8075421121345
3,0,5,40.8305994361237
2,0,3,37.1996778061958
2,1,2,35.09022112814
2,1,2,35.0780078362111
3,0,6,41.6638117596768
2,0,7,40.9453013937473
3,0,2,37.1713596189952
1,0,6,38.6716019651586
1,0,5,37.8337029931678
2,1,4,37.1365709470229
3,0,2,37.1828448678204
2,0,6,40.1884337948917
1,1,5,36.3255819841538
2,0,4,38.3568383994945
3,1,2,36.5849388545436
3,1,3,37.8058117081207
1,1,4,35.6582586520354
2,1,2,35.092663561291
1,1,2,33.5601922838715
3,0,6,41.7015729611839
3,1,2,36.5658307814544
3,1,6,39.8618984128199
1,0,5,37.8328690138677
3,1,4,38.6611026753156
3,0,5,40.8281334735013
3,0,4,39.8567150172604
1,0,5,37.8231037614099
2,1,5,37.828180460595
2,0,4,38.353235823437
1,0,3,35.6871358821556
1,0,6,38.6663998728875
3,0,4,39.8708706827381
1,0,5,37.8150417848142
3,1,2,36.5682907287244
2,0,6,40.1856868448948
1,1,6,36.8737369842155
1,1,5,36.3299984130955
2,0,3,37.1962670781089
2,0,4,38.3508065623749
3,0,3,38.6979407956109
2,0,4,38.3511222131503
2,0,5,39.3350516465364
3,1,4,38.6621150386116
2,0,3,37.1987368511145
3,1,3,37.7815262710595
3,0,5,40.8350690934044
1,1,2,33.5639578981882
3,0,1,34.7916403905925
3,0,5,40.8331492510294
3,1,5,39.3425833311092
2,0,4,38.3743100246299
3,1,4,38.6675301622914
3,0,2,37.2033351088043
2,0,4,38.3526004153452
1,1,5,36.3289519183217
3,0,3,38.6929651505682
2,1,4,37.1540786289883
3,1,3,37.8048452087647
3,0,4,39.8443141965421
1,0,4,36.8527152453576
2,0,5,39.3215966244617
2,0,4,38.362002422794
3,0,3,38.6954777420464
3,1,4,38.652367387714
3,0,5,40.8244440223434
3,0,4,39.8605348446382
1,0,4,36.8522100978132
2,0,3,37.1845433591232
2,0,6,40.1740696961607
1,0,5,37.8126359969811
3,0,6,41.6763583149772
2,1,4,37.155495634722
3,0,5,40.8258947680297
1,1,5,36.3241769993801
2,0,4,38.3660656340144
1,0,3,35.696770415958
3,0,3,38.7005634303428
1,1,4,35.654574414923
3,0,4,39.8642085726041
1,0,6,38.671312819827
2,0,2,35.6663060570237
2,1,4,37.1787514244883
3,0,2,37.1908178063865
1,1,7,37.3478766262158
2,0,5,39.3331839589706
3,0,3,38.7119362932825
3,0,3,38.7009349718861
3,0,4,39.8511294626653
1,0,6,38.690566522003
1,1,5,36.3271517404248
2,1,1,33.0057977395666
1,0,3,35.6823572978039
1,1,4,35.6637261931259
2,1,2,35.0777716618787
1,0,2,34.171218010395
1,0,7,39.4326422600955
1,0,5,37.8302102387849
3,0,6,41.6586051886633
2,1,2,35.0754626788431
1,1,4,35.6589121310196
1,0,4,36.8424652718008
2,0,4,38.3531943279617
2,0,4,38.3575187616701
3,1,3,37.8046329229139
2,0,6,40.1823498759593
1,0,4,36.8457168341763
1,0,3,35.6961518520229
2,0,5,39.3174433550268
1,0,7,39.4345682282571
3,1,3,37.7912026772409
2,0,5,39.3457654321278
1,1,2,33.5796687486222
2,1,4,37.146380113824
2,1,4,37.1753034336622
2,0,5,39.3277214708531
1,0,4,36.8675763255103
3,0,3,38.7093004089315
3,1,4,38.6719744298062
3,0,3,38.6921816209861
1,0,5,37.8458907162623
1,0,4,36.8636767744336
3,0,5,40.8290027198142
3,0,2,37.1738461886056
1,1,3,34.7820508665714
1,0,4,36.8664572370731
3,1,1,34.4957232999978
1,0,7,39.4284260767929
3,0,5,40.8171601417792
2,0,5,39.3188221506463
1,0,2,34.176376818213
1,0,5,37.8205619256865
2,0,3,37.1961914806751
3,0,4,39.863509505764
2,0,4,38.3678772969356
1,1,5,36.3263515183579
1,0,5,37.8330569228693
2,1,4,37.1700356737046
1,0,4,36.8610910295455
1,0,6,38.6891641575508
1,0,6,38.6639047480974
3,0,5,40.8186341647735
2,0,4,38.3614621819007
3,0,3,38.6925419322241
2,1,4,37.1649483002691
1,0,6,38.6672290809221
1,0,5,37.8303228358979
2,0,4,38.3555631384366
3,1,3,37.7914893738207
3,0,3,38.6883695081071
1,1,6,36.8764715179857
2,0,5,39.3301268482666
2,1,5,37.8323410296936
1,1,5,36.3284593892069
2,0,6,40.175016062972
2,0,4,38.3632801973421
3,0,1,34.8014334736921
1,0,7,39.4230417979779
3,1,2,36.58174015004
3,1,3,37.7944700792248
3,0,4,39.8584965515917
3,1,3,37.7818162603986
2,0,4,38.3537371724104
2,0,5,39.3234353049279
1,1,5,36.3282956897645
3,0,3,38.691679078006
3,0,4,39.8460906085737
2,0,5,39.3274705348062
1,1,3,34.7994753697783
3,0,6,41.6872799497794
3,1,4,38.6591545033751
1,0,6,38.6771562194151
2,1,5,37.8305741144103
3,0,4,39.8688360839011
1,0,3,35.6924229686649
2,1,3,36.2837684659352
3,1,4,38.6684571405142
1,1,2,33.5789691276468
2,0,5,39.3292874680994
2,0,6,40.1841979824565
3,0,5,40.8447931086832
3,1,3,37.8029230193728
3,0,5,40.8228659187327
2,0,2,35.6990141621441
2,0,3,37.2106538642987
2,1,4,37.1585585773641
3,0,3,38.6959929713875
2,0,4,38.3557465904151
1,0,3,35.7056294078899
2,0,6,40.1683977100892
3,1,3,37.7960654637419
3,0,4,39.8778250706673
1,1,4,35.6895411924217
3,0,4,39.852774840474
1,0,4,36.8609529665261
1,0,6,38.6751903249672
1,1,4,35.6477784803939
1,1,7,37.3576979897122
1,0,4,36.859620547864
3,0,3,38.6922644528815
1,1,4,35.6601952520049
3,1,4,38.660709408244
1,0,6,38.6754767048927
3,0,6,41.6848450313125
1,0,7,39.4501266059423
2,0,5,39.3101680620084
3,0,4,39.8625395404201
2,0,6,40.1803563444416
1,0,6,38.6567861438624
1,0,5,37.8276952860501
2,0,2,35.683915153915
1,0,6,38.6915621481893
2,0,6,40.1594331483177
1,0,4,36.8611354413427
2,0,5,39.3396244023544
3,1,3,37.8008717720071
2,0,5,39.3302027940588
3,0,5,40.8266976437054
3,0,3,38.6992386846386
3,0,5,40.8149115427505
2,0,4,38.3403015597151
2,0,6,40.1702560234677
3,1,6,39.8694621750382
3,0,5,40.8172517506504
3,0,5,40.8312853818737
3,0,1,34.8063873927097
2,0,6,40.185692926388
3,0,6,41.6671333409133
2,1,4,37.1794716398277
1,0,4,36.8503678480505
3,0,3,38.6965019262329
2,0,4,38.3541317189764
3,0,5,40.8014878040518
3,0,4,39.8458706638263
2,1,6,38.3666561017798
1,1,5,36.3217430077033
2,1,5,37.8359544111662
3,0,5,40.8336136766898
3,0,6,41.67047715603
2,0,5,39.3347325023302
3,0,2,37.1715330673395
2,0,4,38.351965713548
1,0,5,37.8137067328307
1,0,5,37.8224360059553
1,1,5,36.3278420106463
1,0,4,36.8575941435097
3,0,5,40.8190100843224
3,0,4,39.8443730550377
1,0,4,36.8534929167631
3,0,1,34.8104071560648
3,0,3,38.7077693409793
3,0,3,38.7002899977031
1,0,5,37.8496413900235
2,0,6,40.1802025203629
3,0,4,39.8576477078759
1,1,5,36.3298455879097
2,0,4,38.3498930455737
3,1,5,39.3286290539219
2,0,6,40.1694571512632
2,0,3,37.2014932734343
3,1,1,34.5116606698721
3,1,3,37.7865154577548
1,0,4,36.864907752231
2,0,7,40.9227656119297
2,1,2,35.1138500215189
2,0,5,39.3278842245776
1,1,6,36.8583130133535
2,1,1,32.9880716776308
1,0,6,38.6689435417399
2,0,5,39.3350905317251
3,1,2,36.5938502338899
3,1,2,36.5932228152367
1,1,4,35.6723063490467
1,0,2,34.1717759155291
2,0,5,39.3392425056536
2,0,4,38.3517414756433
1,1,2,33.5805798879683
3,1,4,38.6429167909327
2,1,3,36.3195504072509
2,1,2,35.0711920956151
2,1,2,35.0936972518308
2,1,5,37.8333236614626
2,0,5,39.3368344929481
2,1,2,35.0676105197975
1,1,4,35.6385887277849
1,1,5,36.3321014466707
2,0,5,39.3317592212334
3,0,4,39.8692377232061
3,0,4,39.8674797739387
1,0,4,36.8733039107912
1,1,3,34.7949413253668
2,1,2,35.0818130271003
1,1,4,35.6445783795853
1,0,5,37.832414411113
2,0,5,39.3350449467793
2,1,2,35.0874538617641
1,1,4,35.6379702904128
3,0,3,38.7054401013089
3,0,4,39.8650585428676
2,1,2,35.0602901156178
1,1,5,36.3373523143778
1,0,4,36.8571435417706
3,0,4,39.8519147529081
3,0,5,40.8327723880421
2,0,6,40.1610469460086
3,0,2,37.1879509082994
3,1,5,39.3501481334903
2,0,3,37.1805403412155
3,0,3,38.6866055380601
3,0,5,40.8107813280895
1,0,4,36.8557925830141
2,1,3,36.2901842647764
3,0,5,40.831481141405
1,0,5,37.8178440053403
1,0,3,35.7035239856965
3,1,3,37.7994723974994
1,0,2,34.1541661763472
1,1,4,35.6549115158334
2,0,4,38.3707052818313
1,1,3,34.7988449712637
1,0,5,37.8354761808007
2,0,4,38.3693086433022
3,1,5,39.3316042112574
3,0,5,40.8365900846831
1,0,5,37.818658901561
3,0,6,41.691443417324
1,0,5,37.8203322407516
2,0,4,38.366634757511
3,1,3,37.7777181319255
2,0,5,39.3168004998659
3,0,2,37.1973030021582
2,1,5,37.8412304683288
1,0,6,38.6750983240342
2,0,4,38.3605426414456
1,0,4,36.8572297162621
2,0,4,38.3678827422666
2,0,5,39.3207039809614
2,0,4,38.3583602706685
3,1,4,38.6492069466953
2,1,4,37.160205821907
2,0,3,37.1971740690797
3,0,4,39.8626505790562
1,0,6,38.6738063511883
1,0,6,38.6848419384379
1,0,4,36.8505591672033
2,0,4,38.3499212430682
1,0,5,37.8411820730914
1,0,4,36.8474953797459
3,1,3,37.7921319808351
2,1,4,37.1672333620219
2,1,7,38.837758209805
3,0,5,40.827708739627
3,0,2,37.1653416408604
2,0,3,37.2188958408677
2,0,5,39.3376860011803
3,1,3,37.7945326292854
3,1,3,37.8073877717177
3,1,3,37.7924857063249
1,0,5,37.8335904195695
2,0,3,37.1940450394562
3,0,2,37.1731040683238
2,1,3,36.2984880641729
2,0,4,38.3656990095789
2,1,3,36.3074098753909
3,0,3,38.6891550212509
1,0,6,38.6702778606648
3,0,4,39.8409397021619
3,0,3,38.7058190730367
1,0,4,36.8714881175018
3,0,4,39.8420167511654
2,1,5,37.8247625239683
3,0,5,40.8267293312323
3,1,4,38.6610075650644
2,1,4,37.1710475917391
3,0,4,39.8633315620543
2,0,4,38.3513058760266
2,1,5,37.8170677086851
3,0,2,37.1851628458175
2,1,4,37.1653270190247
1,0,3,35.7002454813558
2,0,4,38.3498824026526
3,0,3,38.7061319510575
1,0,2,34.1742213354201
2,1,3,36.2973438101353
1,1,3,34.7974603402664
3,1,3,37.785889193299
2,0,5,39.3185162961252
3,0,5,40.8179372837269
3,1,2,36.5660338470521
3,0,3,38.6871769873123
2,1,4,37.1442551836704
1,1,3,34.7896670307085
1,0,5,37.8363879757183
3,0,3,38.7001188271535
1,1,4,35.6590232414688
1,0,5,37.8337400659552
1,0,5,37.8368844661381
3,0,3,38.7089328036438
2,0,5,39.3346058351809
1,0,4,36.8724305009864
2,0,3,37.1967462559587
1,0,7,39.429243136694
2,0,3,37.1975025288932
3,0,5,40.8125088686852
1,1,5,36.3139020346319
1,0,2,34.1875194420131
2,1,4,37.1726765640365
3,1,4,38.6629772882284
2,0,5,39.3332816261822
2,0,5,39.3253136412612
1,0,5,37.828521577786
1,0,6,38.6799626195251
1,0,6,38.6556883942532
2,1,5,37.8213797202141
1,0,5,37.8342844827918
2,0,6,40.1594279090083
1,1,4,35.6655505884148
2,0,5,39.3326039566474
3,0,5,40.8131564874141
2,0,5,39.3246355537079
2,0,6,40.1897348135797
2,0,4,38.3491400018993
3,1,3,37.8053830817246
1,0,6,38.6750217406465
2,1,4,37.1461451480804
1,0,6,38.6840362857171
1,1,5,36.3198411457142
1,0,4,36.8504907918355
3,1,3,37.7841458825222
2,0,4,38.3535189163667
2,0,2,35.6944702102051
1,1,2,33.5653397608389
3,0,4,39.8459892518424
2,0,5,39.3302937951178
1,0,6,38.6566521891253
2,0,7,40.9242175882372
3,0,5,40.8305545676862
3,0,4,39.8447006017985
3,0,5,40.8267673307898
2,0,5,39.3354172639192
1,0,4,36.8524029020322
1,0,6,38.6846979910797
3,1,2,36.5948654291818
3,1,3,37.8006998765088
2,1,5,37.8092311874637
1,0,6,38.6650153047116
2,1,5,37.8155945689284
3,0,2,37.1722372893777
1,0,6,38.6810324046301
1,1,5,36.3062370059846
3,0,4,39.8698481800975
2,0,3,37.1931609215252
3,0,4,39.8541858866495
2,1,3,36.3061640814525
2,0,4,38.3567679285084
1,0,7,39.4425288871547
3,0,6,41.6729492366033
3,1,3,37.7989976930274
2,0,5,39.3377683182609
3,0,4,39.8598447208377
3,0,5,40.8281828606953
1,0,5,37.8229773498282
1,0,6,38.684659009224
3,0,4,39.840570890169
2,0,5,39.3425057532774
2,0,6,40.1760445236803
1,0,4,36.8727851636939
3,1,4,38.6577360689898
3,1,3,37.7871194671465
1,0,6,38.6617060194415
3,0,5,40.8160967572305
1,0,5,37.852606686561
1,1,4,35.6528241519036
1,0,6,38.668587153736
3,1,2,36.577118964872
2,0,3,37.2047066968237
2,1,3,36.3073052045249
3,0,2,37.189687936834
1,0,6,38.6738922295644
3,0,4,39.8503050362732
2,1,3,36.3175873706997
2,0,6,40.1659458627461
2,0,5,39.3229641914718
1,1,4,35.6670069432691
3,1,3,37.7669411837549
1,0,5,37.8270321705249
2,0,5,39.3241822187699
3,0,3,38.7023960504455
3,1,3,37.7992023276899
3,0,4,39.8715355382186
1,0,3,35.6705915157442
1,1,3,34.8086127602951
1,1,6,36.862629221404
2,0,7,40.9454182406737
1,0,4,36.8426301085814
3,0,5,40.8188295446831
2,0,4,38.3681767280979
3,0,5,40.8294851339897
3,0,4,39.8533359377431
1,1,7,37.3319290402162
1,0,5,37.8069110954635
1,0,6,38.687084239898
3,1,5,39.3288120809529
2,0,2,35.6612860577598
1,0,7,39.4348157462001
1,1,4,35.6500536793961
1,0,3,35.6893804568124
2,0,3,37.1971884118715
2,1,4,37.1549814563889
2,0,4,38.3687340810194
1,0,6,38.6751604522812
2,0,5,39.3103019165404
1,1,3,34.8016248070702
3,0,2,37.1719463609204
2,0,4,38.3714468664299
2,0,3,37.1971532305324
1,0,5,37.8216925003436
2,1,5,37.8114163705157
3,1,3,37.7926832493996
3,0,6,41.6719562913159
3,0,3,38.7235694341055
3,1,3,37.8076266758248
2,1,4,37.1708730485383
2,0,5,39.3245947212123
2,0,5,39.3395259205947
3,0,4,39.8570772762499
2,1,3,36.2888739515658
3,0,1,34.8198580609746
3,1,3,37.8114857497956
3,0,4,39.8875521024654
2,0,5,39.3169306071381
1,0,5,37.8441875994361
3,0,4,39.8466081974343
2,1,3,36.3049651723346
1,1,4,35.6509635092951
2,0,5,39.3357503088587
1,0,3,35.6984735980831
3,0,4,39.8670590316343
1,0,5,37.8343977618381
1,0,5,37.8155585661331
2,0,1,33.3071698543588
2,1,4,37.1622320699254
2,1,5,37.8350756570904
3,0,3,38.6862231924028
2,1,5,37.8188146449076
1,0,4,36.8398441320944
2,0,5,39.3046231831111
3,0,3,38.6711016037634
2,0,5,39.3284383662362
2,0,4,38.3488030070307
3,0,1,34.8006755728991
3,0,5,40.832063332883
1,1,4,35.6375431441577
1,1,5,36.3370200266195
2,1,5,37.8464309538826
3,0,3,38.7039354408207
3,0,6,41.6640221949942
2,0,4,38.358538361508
3,0,4,39.8439583453146
1,0,6,38.6777847399136
1,0,3,35.6927649058762
3,0,7,42.4308987246838
2,1,2,35.0811836690935
3,0,4,39.8506646128606
2,0,5,39.3260106107458
2,1,3,36.2921844803798
1,0,4,36.8512478787892
1,1,6,36.8640877764407
1,1,6,36.88076998936
1,1,4,35.6602832870173
1,1,7,37.350186421218
2,1,5,37.8319037358204
3,1,3,37.7983176194113
2,1,3,36.2910777630479
1,1,2,33.5748701998666
3,1,5,39.3167379161077
2,0,5,39.3300687791367
2,0,5,39.3388898436081
2,0,2,35.6746981269385
3,1,4,38.6656343576302
3,0,5,40.8495551271566
3,1,4,38.6542372071343
2,0,6,40.1753538981636
2,1,4,37.1620301190685
2,0,4,38.3599964672241
1,0,2,34.159611089269
2,0,4,38.3499125203239
2,0,5,39.3531284775151
3,1,2,36.5889900666926
1,0,3,35.6961774920594
2,0,6,40.1537024454234
1,0,3,35.6955190851362
2,1,4,37.1726385196291
3,0,3,38.6807373197658
2,0,6,40.1696835974173
2,1,4,37.1598671308786
2,1,4,37.1503426582304
1,0,4,36.8704783982926
2,0,4,38.3653967411077
2,1,1,33.0102786439539
2,0,5,39.3264331263651
3,1,5,39.3373527634304
2,1,6,38.3758499484463
2,0,3,37.1929612963851
3,0,2,37.1710256985099
2,0,3,37.2114995938585
2,1,4,37.1484479125208
2,1,2,35.0873953476263
3,0,3,38.6918011272655
1,1,4,35.6717706824915
2,0,4,38.361593823178
1,0,5,37.8394875241176
3,0,3,38.6899425702276
3,1,5,39.3334830788252
1,0,4,36.8533106927932
1,0,4,36.8617252301057
1,0,7,39.4366626025552
2,0,4,38.3640860362478
2,0,4,38.3725742244216
2,0,5,39.3317084458827
3,0,3,38.7047286188317
1,0,4,36.8446266753488
2,0,6,40.1835897174401
3,1,4,38.6617620983709
1,0,4,36.8638165688913
3,0,2,37.1831010120027
3,0,6,41.6722969934445
3,0,3,38.6954814578456
3,0,5,40.8324540760912
3,1,6,39.8654162442644
1,0,5,37.8285786547126
3,0,5,40.837375124346
2,0,2,35.6780257971835
2,0,5,39.3268393038503
1,0,5,37.8113941516585
3,1,5,39.3124336374764
3,0,2,37.1874853125846
2,0,4,38.3437398005749
3,1,2,36.6089235029989
3,0,3,38.689009317187
3,0,6,41.6694852255388
2,1,5,37.8106709825289
3,0,5,40.8350543072454
1,0,4,36.8589930802101
2,0,4,38.3681176723702
1,0,5,37.8133051222452
2,1,3,36.2868134800995
2,0,3,37.1950156060177
1,1,5,36.3197620181372
1,1,4,35.6591610080472
2,0,6,40.1615214323016
1,0,7,39.4354879213698
2,1,3,36.290453510945
3,0,3,38.6948283282904
1,0,4,36.8613298120869
3,0,3,38.6710222675123
1,1,2,33.5821022866698
3,0,4,39.8622621266569
3,1,3,37.7902431618572
1,0,5,37.8367251090997
3,1,2,36.5988170067936
2,0,4,38.3507777931921
3,0,4,39.873289478934
2,0,5,39.3258730670584
2,0,4,38.3558041228886
1,0,4,36.8428054511312
3,0,6,41.6752903888477
3,0,3,38.7025027589656
2,0,5,39.3297610624583
3,0,5,40.8421598097687
3,0,4,39.8616123398051
1,1,4,35.6480696909119
3,1,5,39.3234360264553
2,1,2,35.0830439269112
2,0,3,37.2148358210746
3,0,4,39.8575472514507
3,0,2,37.1794403147804
2,0,7,40.9426373392973
1,1,4,35.6729732511583
3,1,2,36.5901902292693
3,1,3,37.7924467963958
3,0,3,38.6879168425409
2,0,5,39.3111220130674
3,0,4,39.8585901722128
1,0,3,35.6900503926013
1,0,6,38.6858703049005
1,1,4,35.6882215597268
1,1,3,34.800968049368
2,0,5,39.3125907906794
2,0,4,38.3620984661793
2,0,4,38.3409012169068
2,0,4,38.3545996349709
2,1,3,36.2840664553587
2,0,4,38.3557021492322
1,0,3,35.6929338358558
1,0,4,36.8583816184649
1,0,5,37.83041514576
2,0,4,38.3594072290336
3,0,2,37.1586120624328
1,0,5,37.8186578103968
1,0,5,37.8398593891807
3,0,4,39.8563256013982
2,0,4,38.374629842264
2,0,3,37.1964907040044
1,0,5,37.8313079725549
3,0,5,40.8278740540467
3,1,5,39.3232554856255
3,0,3,38.7033102868357
2,0,4,38.3561237835159
2,1,4,37.1523482892583
2,0,5,39.3158820069848
1,1,6,36.8669296350987
2,0,6,40.164974245236
2,0,3,37.2102062830061
2,1,3,36.2949042401585
2,0,3,37.1862381019694
3,1,3,37.7988612879038
2,0,5,39.3294166350584
3,1,2,36.5886259252393
3,0,4,39.8613930359154
3,0,5,40.8210131099987
2,0,6,40.1805287040563
1,1,4,35.6593578453455
1,1,2,33.5775246196957
2,0,6,40.1717088994781
1,1,4,35.6626700783232
1,0,4,36.8618950402182
3,0,4,39.8542317462272
3,0,2,37.1797102408666
3,0,4,39.8557045374402
